Year,quarter,city1,city2,airport_1,airport_2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,Geocoded_City1,Geocoded_City2
1993,3,"Miami, FL (Metropolitan Area)","Pittsburgh, PA",MIA,PIT,1013,199,155.27,US,0.81,154.14,CO,0.02,102.08,"44.977479, -93.264346","40.442169, -79.994945"
1993,2,"Denver, CO","Los Angeles, CA (Metropolitan Area)",DEN,BUR,849,189,205.28,UA,0.92,203.12,UA,0.92,203.12,"39.738453, -104.984853","34.052238, -118.243344"
1996,3,"Indianapolis, IN","New York City, NY (Metropolitan Area)",IND,SWF,700,18,174.89,US,0.67,179.11,AA,0.22,160.71,"39.76845, -86.156212","40.123164, -75.333718"
1993,2,"Memphis, TN","San Francisco, CA (Metropolitan Area)",MEM,SFO,1807,117,256.63,NW,0.73,236.93,NW,0.73,236.93,"35.143378, -90.052136","37.78008, -122.420168"
1996,2,"Greenville/Spartanburg, SC","New York City, NY (Metropolitan Area)",GSP,HPN,643,4,246.99,US,0.63,213.82,US,0.63,213.82,"44.513288, -88.013256","40.123164, -75.333718"
1993,4,"Los Angeles, CA (Metropolitan Area)","Phoenix, AZ",ONT,PHX,370,781,64.68,WN,0.62,61.45,WN,0.62,61.45,"34.052238, -118.243344","30.406931, -87.217578"
1993,1,"Greenville/Spartanburg, SC","Washington, DC (Metropolitan Area)",GSP,IAD,425,5,218.57,US,0.43,186.2,US,0.43,186.2,"44.513288, -88.013256","38.892062, -77.019912"
1994,1,"Key West, FL","New York City, NY (Metropolitan Area)",EYW,SWF,1249,3,157.58,AA,0.82,163.47,AA,0.82,163.47,"70.129129, -143.63129","40.123164, -75.333718"
1993,3,"New York City, NY (Metropolitan Area)","Sarasota/Bradenton, FL",LGA,SRQ,1085,71,192.17,DL,0.34,206.01,AA,0.17,177.41,"40.123164, -75.333718","27.336483, -82.538602"
1993,1,"Little Rock, AR","New York City, NY (Metropolitan Area)",LIT,LGA,1090,45,284.64,AA,0.42,264.27,TW,0.1,241.31,"34.748745, -92.275105","40.123164, -75.333718"
1993,2,"Houston, TX","Los Angeles, CA (Metropolitan Area)",HOU,SNA,1397,23,371.47,AA,0.65,371.72,DL,0.13,261.97,"29.760803, -95.369506","34.052238, -118.243344"
1993,3,"Norfolk, VA (Metropolitan Area)","Philadelphia, PA",PHF,PHL,211,2,170.0,US,0.6,175.33,UA,0.25,123.78,"36.846164, -76.285913","39.951061, -75.16562"
1996,2,"Detroit, MI","New York City, NY (Metropolitan Area)",DTW,JFK,540,161,165.4,TW,0.95,164.45,NW,0.01,153.66,"42.332916, -83.047853","40.123164, -75.333718"
1993,2,"New York City, NY (Metropolitan Area)","Reno, NV",NYC,RNO,2443,4,218.43,DL,0.86,203.16,CO,0.05,201.1,"40.123164, -75.333718","30.177159, -95.162771"
1993,4,"Greenville/Spartanburg, SC","New York City, NY (Metropolitan Area)",GSP,EWR,643,113,176.03,US,0.66,172.8,AA,0.16,168.03,"44.513288, -88.013256","40.123164, -75.333718"
1996,4,"Miami, FL (Metropolitan Area)","Tampa, FL (Metropolitan Area)",FLL,PIE,208,1,72.71,TZ,1.0,72.71,TZ,1.0,72.71,"44.977479, -93.264346","37.8606, -78.804199"
1993,4,"Jacksonville, FL","New York City, NY (Metropolitan Area)",JAX,SWF,870,12,167.0,AA,0.54,181.42,DL,0.44,150.15,"30.325968, -81.65676","40.123164, -75.333718"
1993,4,"Cleveland, OH (Metropolitan Area)","Orlando, FL",CLE,MCO,895,329,171.65,DL,0.41,170.35,CO,0.34,162.17,"41.505546, -81.6915","28.538331, -81.378879"
1993,4,"Fort Myers, FL","Los Angeles, CA (Metropolitan Area)",RSW,ONT,2238,16,186.2,DL,0.75,183.0,NW,0.01,155.5,"40.253979, -103.801495","34.052238, -118.243344"
1996,4,"Pittsburgh, PA","San Francisco, CA (Metropolitan Area)",PIT,OAK,2254,11,398.88,UA,0.72,363.81,UA,0.72,363.81,"40.442169, -79.994945","37.78008, -122.420168"
1993,4,"Dallas/Fort Worth, TX","Harlingen/San Benito, TX",DAL,HRL,461,274,81.23,WN,1.0,81.23,WN,1.0,81.23,"40.11086, -77.035636","40.8078, -73.945801"
1996,2,"Austin, TX","Los Angeles, CA (Metropolitan Area)",AUS,LAX,1238,356,145.12,WN,0.35,114.21,WN,0.35,114.21,"30.264979, -97.746598","34.052238, -118.243344"
